"Mês/Ano";"UF";"Município";"Zona";"Quantidade";"%";
"";"BA";"CANÁPOLIS";"99";"8.340";""
"";"BA";"CANARANA";"174";"18.136";""
"";"BA";"CANAVIEIRAS";"116";"23.053";""
"";"BA";"CANDEAL";"114";"7.212";""
"";"BA";"CANDEIAS";"127";"62.371";""
"";"BA";"CANDIBA";"64";"10.415";""
"";"BA";"CÂNDIDO SALES";"40";"18.046";""
"";"BA";"CANSANÇÃO";"50";"27.044";""
"";"BA";"CANUDOS";"83";"12.341";""
"";"BA";"CAPELA DO ALTO ALEGRE";"196";"9.269";""
"";"BA";"CAPIM GROSSO";"191";"22.621";""
"";"BA";"CARAÍBAS";"161";"8.358";""
"";"BA";"CARAVELAS";"112";"13.942";""
"";"BA";"CARDEAL DA SILVA";"144";"7.294";""
"";"BA";"CARINHANHA";"125";"21.566";""
"";"BA";"CASA NOVA";"66";"51.739";""
"";"BA";"CASTRO ALVES";"43";"22.336";""
"";"BA";"CATOLÂNDIA";"100";"3.510";""
"";"BA";"CATU";"129";"40.272";""
"";"BA";"CATURAMA";"111";"7.573";""
"";"BA";"CENTRAL";"159";"13.145";""
"";"BA";"CHORROCHÓ";"158";"8.944";""
"";"BA";"CÍCERO DANTAS";"82";"25.291";""
"";"BA";"CIPÓ";"79";"13.354";""
"";"BA";"COARACI";"135";"16.754";""
"";"BA";"COCOS";"61";"14.603";""
"";"BA";"CONCEIÇÃO DA FEIRA";"108";"16.648";""
"";"BA";"CONCEIÇÃO DO ALMEIDA";"184";"14.381";""
"";"BA";"CONCEIÇÃO DO COITÉ";"132";"50.870";""
"";"BA";"CONCEIÇÃO DO JACUÍPE";"192";"23.825";""
"";"BA";"CONDE";"21";"17.300";""
"";"BA";"CONDEÚBA";"60";"15.360";""
"";"BA";"CONTENDAS DO SINCORÁ";"58";"3.793";""
"";"BA";"CORAÇÃO DE MARIA";"130";"20.971";""
"";"BA";"CORDEIROS";"60";"6.985";""
"";"BA";"CORIBE";"61";"11.782";""
"";"BA";"CORONEL JOÃO SÁ";"52";"11.513";""
"";"BA";"CORRENTINA";"124";"26.351";""
"";"BA";"COTEGIPE";"98";"11.208";""
"";"BA";"CRAVOLÂNDIA";"38";"4.243";""
"";"BA";"CRISÓPOLIS";"81";"16.845";""
"";"BA";"CRISTÓPOLIS";"126";"11.801";""
"";"BA";"CRUZ DAS ALMAS";"142";"44.071";""
"";"BA";"CURAÇÁ";"85";"25.044";""
"";"BA";"DÁRIO MEIRA";"147";"7.550";""
"";"BA";"DIAS D'ÁVILA";"186";"48.604";""
"";"BA";"DOM BASÍLIO";"101";"9.808";""
"";"BA";"DOM MACEDO COSTA";"202";"3.892";""
"";"BA";"ELÍSIO MEDRADO";"107";"7.475";""
"";"BA";"ENCRUZILHADA";"152";"14.389";""
"";"BA";"ENTRE RIOS";"144";"31.948";""
"";"BA";"ÉRICO CARDOSO";"111";"8.930";""
"";"BA";"ESPLANADA";"21";"24.806";""
"";"BA";"EUCLIDES DA CUNHA";"102";"42.685";""
"";"BA";"EUNÁPOLIS";"188";"24.397";""
"";"BA";"EUNÁPOLIS";"203";"51.652";""
"";"BA";"FÁTIMA";"82";"15.099";""
"";"BA";"FEIRA DA MATA";"125";"4.997";""
"";"BA";"FEIRA DE SANTANA";"154";"102.623";""
"";"BA";"FEIRA DE SANTANA";"155";"76.596";""
"";"BA";"FEIRA DE SANTANA";"156";"109.788";""
"";"BA";"FEIRA DE SANTANA";"157";"95.043";""
"";"BA";"FILADÉLFIA";"149";"14.330";""
"";"BA";"FIRMINO ALVES";"137";"4.818";""
"";"BA";"FLORESTA AZUL";"29";"7.593";""
"";"BA";"FORMOSA DO RIO PRETO";"187";"18.315";""
"";"BA";"GANDU";"151";"21.700";""
"";"BA";"GAVIÃO";"191";"4.309";""
"";"BA";"GENTIO DO OURO";"68";"8.962";""
"";"BA";"GLÓRIA";"84";"12.782";""
"";"BA";"GONGOGI";"73";"4.948";""
"";"BA";"GOVERNADOR MANGABEIRA";"131";"15.836";""
"";"BA";"GUAJERU";"93";"7.453";""
"";"BA";"GUANAMBI";"64";"60.392";""
"";"BA";"GUARATINGA";"189";"14.871";""
"";"BA";"HELIÓPOLIS";"110";"10.481";""
"";"BA";"IAÇU";"193";"22.082";""
"";"BA";"IBIASSUCÊ";"93";"8.781";""
"";"BA";"IBICARAÍ";"29";"18.514";""
"";"BA";"IBICOARA";"169";"13.144";""
"";"BA";"IBICUÍ";"146";"10.975";""
"";"BA";"IBIPEBA";"176";"13.376";""
"";"BA";"IBIPITANGA";"65";"12.703";""
"";"BA";"IBIQUERA";"42";"3.416";""
"";"BA";"IBIRAPITANGA";"134";"12.638";""
"";"BA";"IBIRAPUÃ";"153";"6.788";""
"";"BA";"IBIRATAIA";"24";"14.538";""
"";"BA";"IBITIARA";"88";"10.479";""
"";"BA";"IBITITÁ";"104";"14.224";""
"";"BA";"IBOTIRAMA";"173";"19.636";""
"";"BA";"ICHU";"132";"5.261";""
"";"BA";"IGAPORÃ";"168";"11.652";""
"";"BA";"IGRAPIÚNA";"32";"9.858";""
"";"BA";"IGUAÍ";"146";"19.697";""
"";"BA";"ILHÉUS";"25";"49.812";""
"";"BA";"ILHÉUS";"26";"66.968";""
"";"BA";"INHAMBUPE";"44";"25.865";""
"";"BA";"IPECAETÁ";"143";"13.249";""
"";"BA";"IPIAÚ";"24";"29.891";""
"";"BA";"IPIRÁ";"62";"43.574";""
"";"BA";"IPUPIARA";"94";"7.804";""
"";"BA";"IRAJUBA";"76";"5.049";""
"";"BA";"IRAMAIA";"169";"8.699";""
"";"BA";"IRAQUARA";"89";"16.623";""
"";"BA";"IRARÁ";"74";"23.482";""
"";"BA";"IRECÊ";"95";"44.082";""
"";"BA";"ITABELA";"189";"22.432";""
"";"BA";"ITABERABA";"42";"42.346";""
"";"BA";"ITABUNA";"27";"78.345";""
"";"BA";"ITABUNA";"28";"76.128";""
"";"BA";"ITACARÉ";"198";"15.122";""
"";"BA";"ITAETÉ";"119";"10.713";""
"";"BA";"ITAGI";"147";"9.546";""
"";"BA";"ITAGIBÁ";"147";"11.041";""
"";"BA";"ITAGIMIRIM";"188";"5.696";""
"";"BA";"ITAGUAÇU DA BAHIA";"68";"9.654";""
"";"BA";"ITAJU DO COLÔNIA";"137";"5.102";""
"";"BA";"ITAJUÍPE";"136";"17.003";""
"";"BA";"ITAMARAJU";"172";"44.327";""
"";"BA";"ITAMARI";"151";"6.440";""
"";"BA";"ITAMBÉ";"201";"18.243";""
"";"BA";"ITANAGRA";"185";"5.587";""
"";"BA";"ITANHÉM";"148";"15.910";""
"";"BA";"ITAPARICA";"141";"16.599";""
"";"BA";"ITAPÉ";"27";"9.547";""
"";"BA";"ITAPEBI";"188";"7.366";""
"";"BA";"ITAPETINGA";"140";"46.558";""
"";"BA";"ITAPICURU";"81";"23.259";""
"";"BA";"ITAPITANGA";"135";"6.576";""
"";"BA";"ITAQUARA";"76";"6.172";""
"";"BA";"ITARANTIM";"138";"14.170";""
"";"BA";"ITATIM";"107";"11.573";""
"";"BA";"ITIRUÇU";"37";"9.312";""
"";"BA";"ITIÚBA";"149";"29.225";""
"";"BA";"ITORORÓ";"137";"16.484";""
"";"BA";"ITUAÇU";"58";"14.599";""
"";"BA";"ITUBERÁ";"32";"19.258";""
"";"BA";"IUIU";"175";"8.402";""
"";"BA";"JABORANDI";"61";"8.165";""
"";"BA";"JACARACI";"92";"12.001";""
"";"BA";"JACOBINA";"46";"53.609";""
"";"BA";"JAGUAQUARA";"76";"32.615";""
"";"BA";"JAGUARARI";"179";"22.098";""
"";"BA";"JAGUARIPE";"30";"13.039";""
"";"BA";"JANDAÍRA";"49";"8.250";""
"";"BA";"JEQUIÉ";"22";"58.540";""
"";"BA";"JEQUIÉ";"23";"46.737";""
"";"BA";"JEREMOABO";"51";"26.738";""
"";"BA";"JIQUIRIÇÁ";"109";"10.702";""
"";"BA";"JITAÚNA";"24";"11.107";""
"";"BA";"JOÃO DOURADO";"199";"17.871";""
"";"BA";"JUAZEIRO";"47";"64.625";""
"";"BA";"JUAZEIRO";"48";"75.856";""
"";"BA";"JUCURUÇU";"172";"7.960";""
"";"BA";"JUSSARA";"159";"12.144";""
"";"BA";"JUSSARI";"28";"4.904";""
"";"BA";"JUSSIAPE";"101";"6.675";""
"";"BA";"LAFAIETE COUTINHO";"23";"3.532";""
"";"BA";"LAGOA REAL";"63";"10.471";""
